Date,Open,High,Low,Close,Volume,Currency
2021-04-29,103372.2,103372.2,100217.15,100252.6,21,CLP
2021-04-29,120.2704,120.2704,116.5996,116.6409,21,EUR
2021-04-29,145.8,145.8,141.35,141.4,21,USD
2021-04-30,782.3267,782.3267,782.3267,760.8522,7,BRL
2021-04-30,102212.17,102212.17,102212.17,99406.485,7,CLP
2021-04-30,119.696,119.696,119.696,116.4104,7,EUR
2021-04-30,143.9,143.9,143.9,139.95,7,USD
2021-05-03,761.3358,763.7847,755.6217,755.0775,18,BRL
2021-05-03,98475.61,98792.365,97736.515,97666.125,18,CLP
2021-05-03,115.9491,116.3221,115.0789,114.996,18,EUR
2021-05-03,139.9,140.35,138.85,138.75,18,USD
2021-05-04,758.5517,758.5517,756.6465,756.1022,13,BRL
2021-05-04,98004.855,98004.855,97758.7,97688.37,13,CLP
2021-05-04,115.9671,115.9671,115.6758,115.5926,13,EUR
2021-05-04,139.35,139.35,139.0,138.9,13,USD
2021-05-05,765.3829,767.7923,765.3829,795.0987,2,BRL
2021-05-05,100729.7175,101046.81,100729.7175,104640.525,2,CLP
2021-05-05,119.0488,119.4235,119.0488,123.6708,2,EUR
2021-05-05,142.95,143.4,142.95,148.5,2,USD
2021-05-06,786.124,788.762,786.124,809.866,3,BRL
2021-05-06,104255.3,104605.15,104255.3,107403.95,3,CLP
2021-05-06,123.4614,123.8757,123.4614,127.1901,3,EUR
2021-05-06,149.0,149.5,149.0,153.5,3,USD
2021-05-07,795.9936,795.9936,790.495,797.5646,3,BRL
2021-05-07,105621.76,105621.76,104892.136,105830.224,3,CLP
2021-05-07,124.944,124.944,124.0809,125.1906,3,EUR
2021-05-07,152.0,152.0,150.95,152.3,3,USD
2021-05-10,799.7616,799.7616,775.4551,771.5347,14,BRL
2021-05-10,106561.44,106561.44,103322.808,102800.448,14,CLP
2021-05-10,126.1179,126.1179,122.2849,121.6667,14,EUR
2021-05-10,153.0,153.0,148.35,147.6,14,USD
2021-05-11,778.9434,778.9434,767.7186,772.1563,43,BRL
2021-05-11,104750.336,104750.336,103240.864,103837.632,43,CLP
2021-05-11,122.7916,122.7916,121.0222,121.7217,43,EUR
2021-05-11,149.2,149.2,147.05,147.9,43,USD
2021-05-12,783.4457,783.4457,783.4457,773.3641,1,BRL
2021-05-12,104506.67,104506.67,104506.67,103161.85,1,CLP
2021-05-12,122.2837,122.2837,122.2837,120.7102,1,EUR
2021-05-12,147.65,147.65,147.65,145.75,1,USD
2021-05-13,773.946,785.0949,763.8589,773.2558,0,BRL
2021-05-13,103110.194,104595.524,101766.324,103018.245,0,CLP
2021-05-13,120.6621,122.4003,119.0895,120.5545,0,EUR
2021-05-13,145.78,147.88,143.88,145.65,0,USD
2021-05-14,772.9925,779.0562,763.1323,760.6014,0,BRL
2021-05-14,102521.778,103326.0075,101214.0309,100878.3525,0,CLP
2021-05-14,120.7251,121.6721,119.1852,118.7899,0,EUR
2021-05-14,146.6,147.75,144.73,144.25,0,USD
2021-05-17,769.8434,769.8434,769.8434,764.5705,5,BRL
2021-05-17,104360.8,104360.8,104360.8,103646.0,5,CLP
2021-05-17,120.1142,120.1142,120.1142,119.2915,5,EUR
2021-05-17,146.0,146.0,146.0,145.0,5,USD
2021-05-18,774.0826,774.0826,774.0826,798.5439,1,BRL
2021-05-18,104976.81,104976.81,104976.81,108294.12,1,CLP
2021-05-18,120.3834,120.3834,120.3834,124.1876,1,EUR
2021-05-18,147.15,147.15,147.15,151.8,1,USD
2021-05-19,811.2763,813.931,792.428,801.4539,16271,BRL
2021-05-19,109203.104,109560.444,106665.99,107880.946,16271,CLP
2021-05-19,125.4946,125.9053,122.579,123.9752,16271,EUR
2021-05-19,152.8,153.3,149.25,150.95,16271,USD
2021-05-20,798.4499,811.6561,794.488,797.3934,14906,BRL
2021-05-20,108936.828,110738.628,108396.288,108792.684,14906,CLP
2021-05-20,123.5954,125.6396,122.9821,123.4318,14906,EUR
2021-05-20,151.15,153.65,150.4,150.95,14906,USD
2021-05-21,806.1316,819.8039,796.2124,804.7912,11426,BRL
2021-05-21,108342.21,110179.74,107009.1,108162.06,11426,CLP
2021-05-21,123.4073,125.5003,121.8888,123.2021,11426,EUR
2021-05-21,150.35,152.9,148.5,150.1,11426,USD
2021-05-24,795.498,800.0179,784.0654,792.3075,11455,BRL
2021-05-24,109110.76,109730.7075,107542.6575,108673.15,11455,CLP
2021-05-24,122.4626,123.1584,120.7026,121.9714,11455,EUR
2021-05-24,149.6,150.45,147.45,149.0,11455,USD
2021-05-25,802.3456,810.3424,793.8157,802.3456,15427,BRL
2021-05-25,110451.95,111552.8,109277.71,110451.95,15427,CLP
2021-05-25,122.823,124.0472,121.5173,122.823,15427,EUR
2021-05-25,150.5,152.0,148.9,150.5,15427,USD
2021-05-26,798.8496,832.5776,797.5217,827.0005,22600,BRL
2021-05-26,109731.84,114364.8,109549.44,113598.72,22600,CLP
2021-05-26,123.343,128.5507,123.138,127.6896,22600,EUR
2021-05-26,150.4,156.75,150.15,155.7,22600,USD
2021-05-27,820.0559,823.7227,809.5793,813.7699,18912,BRL
2021-05-27,113376.641,113883.595,111928.201,112507.577,18912,CLP
2021-05-27,128.3553,128.9293,126.7155,127.3715,18912,EUR
2021-05-27,156.55,157.25,154.55,155.35,18912,USD
2021-05-28,816.8349,852.3609,816.8349,848.1813,30128,BRL
2021-05-28,113205.2175,118128.7575,113205.2175,117549.5175,30128,CLP
2021-05-28,128.207,133.783,128.207,133.127,30128,EUR
2021-05-28,156.35,163.15,156.35,162.35,30128,USD
2021-06-01,834.4458,858.9126,820.5384,829.5524,32562,BRL
2021-06-01,117937.62,121395.6675,115971.993,117246.0105,32562,CLP
2021-06-01,132.6294,136.5182,130.4189,131.8516,32562,EUR
2021-06-01,162.0,166.75,159.3,161.05,32562,USD
