"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"16.11.2022","911,15","887,00","913,57","880,70","8,76K","2,77%"
"15.11.2022","886,55","891,20","897,47","882,67","5,50K","-0,47%"
"14.11.2022","890,75","890,96","906,45","888,80","5,86K","0,03%"
"11.11.2022","890,51","894,46","894,94","880,03","6,56K","-0,32%"
"10.11.2022","893,40","907,00","909,35","881,76","7,29K","-1,45%"
"09.11.2022","906,55","907,00","911,30","899,71","6,55K","0,00%"
"08.11.2022","906,55","916,85","918,17","896,50","7,50K","-1,07%"
"07.11.2022","916,40","924,00","928,65","915,00","5,34K","-0,91%"
"04.11.2022","924,83","944,66","944,66","924,12","7,12K","-2,05%"
"03.11.2022","944,20","944,70","958,77","938,91","8,73K","-0,01%"
"02.11.2022","944,25","943,44","948,08","931,38","10,07K","0,13%"
"01.11.2022","942,99","943,50","944,03","942,73","0,44K","-0,01%"
"31.10.2022","943,05","943,40","944,68","942,83","1,06K","0,08%"
"28.10.2022","942,30","943,75","949,81","925,78","10,80K","-0,23%"
"27.10.2022","944,45","951,25","956,50","937,22","9,35K","-0,69%"
"26.10.2022","951,00","967,50","967,50","945,90","7,58K","-1,54%"
"25.10.2022","965,85","986,75","989,35","962,27","7,38K","-2,07%"
"24.10.2022","986,30","972,75","988,83","970,65","7,55K","1,44%"
"21.10.2022","972,30","978,50","992,84","966,61","5,43K","-0,59%"
"20.10.2022","978,05","974,20","981,60","962,90","8,79K","0,44%"
"19.10.2022","973,75","973,25","984,90","971,70","6,01K","0,14%"
"18.10.2022","972,40","971,85","980,75","961,85","7,22K","0,10%"
"17.10.2022","971,40","962,01","976,91","956,29","9,98K","1,12%"
"14.10.2022","960,63","938,01","968,34","936,88","10,75K","2,46%"
"13.10.2022","937,56","944,51","958,59","933,95","15,23K","-0,59%"
"12.10.2022","943,13","927,51","945,77","920,74","12,21K","1,84%"
"11.10.2022","926,13","938,17","943,97","922,60","8,90K","-1,14%"
"10.10.2022","936,80","938,33","938,98","937,59","0,46K","-0,02%"
"07.10.2022","936,95","944,08","958,47","935,32","9,22K","-0,61%"
"06.10.2022","942,70","940,16","951,59","936,58","10,33K","0,32%"
"05.10.2022","939,71","931,88","947,79","931,26","8,60K","0,89%"
"04.10.2022","931,39","940,46","940,66","923,92","7,67K","-0,82%"
"03.10.2022","939,08","968,01","973,72","937,57","9,33K","-2,85%"
"30.09.2022","966,63","963,75","973,58","948,31","8,42K","0,41%"
"29.09.2022","962,65","956,53","978,64","954,17","8,57K","0,80%"
"28.09.2022","955,02","985,16","992,70","950,57","8,47K","-2,92%"
"27.09.2022","983,78","994,01","994,01","975,11","9,65K","-0,89%"
"26.09.2022","992,63","969,83","997,47","969,55","7,12K","2,46%"
"23.09.2022","968,76","944,88","974,27","944,38","10,68K","2,65%"
"22.09.2022","943,78","936,76","952,49","929,08","10,58K","0,90%"
"21.09.2022","935,38","933,10","946,94","930,60","8,39K","0,38%"
"20.09.2022","931,86","922,82","935,33","922,65","7,40K","1,03%"
"19.09.2022","922,37","922,37","923,29","922,25","0,04K","0,05%"
"16.09.2022","921,92","923,75","924,48","922,08","0,53K","-0,03%"
"15.09.2022","922,24","920,45","929,27","917,92","5,78K","0,19%"
"14.09.2022","920,50","917,51","925,71","910,11","3,60K","0,48%"
"13.09.2022","916,13","898,35","922,77","891,53","10,07K","2,03%"
"12.09.2022","897,90","905,47","909,26","892,24","7,48K","-0,67%"
"09.09.2022","903,96","882,25","913,40","871,29","7,74K","2,56%"
"08.09.2022","881,40","884,03","890,58","873,37","7,64K","-0,13%"
"07.09.2022","882,52","893,00","902,41","880,71","7,04K","-1,05%"
"06.09.2022","891,90","881,75","898,58","871,02","7,26K","1,20%"
"05.09.2022","881,30","878,72","882,08","839,15","6,22K","0,34%"
"02.09.2022","878,27","897,07","900,46","875,80","2,24K","-2,05%"
"01.09.2022","896,62","897,00","908,59","887,97","8,02K","0,01%"
"31.08.2022","896,50","890,05","905,28","885,91","9,06K","0,74%"
"30.08.2022","889,90","882,51","891,33","873,41","9,81K","0,89%"
"29.08.2022","882,06","893,15","900,96","882,19","8,66K","-1,19%"
"26.08.2022","892,70","898,50","909,63","891,02","11,38K","-0,51%"
